id,host_neighbourhood,zipcode,property_type,neighbourhood_group_cleansed,review_scores_rating
11400953,First Hill,98101,Apartment,Downtown,94
11410141,Capitol Hill,98102,Aparthotel,Capitol Hill,99
11419521,Rainier Beach,98125,Guesthouse,Lake City,100
11421714,Belltown,98121,Apartment,Downtown,98
11433918,Belltown,98121,Apartment,Downtown,92
11434355,Ravenna,98115,House,Other neighborhoods,93
11442157,Magnolia,98199,House,Magnolia,99
11457196,Cedar Park,98125,House,Lake City,93
11462366,The Junction,98116,House,West Seattle,96
11462832,University District,98105,House,University District,93
11478058,Rainier View,98178,House,Rainier Valley,
11478387,Bitter Lake,98133,Townhouse,Other neighborhoods,100
11497199,Minor,98122,House,Central Area,93
11498207,North Beacon Hill,98144,Guest suite,Beacon Hill,90
11507749,Leschi,98144,Townhouse,Central Area,91
11509343,,98146,Guest suite,West Seattle,97
11512414,Minor,98102,Townhouse,Capitol Hill,100
11523055,Riverview,98106,House,Delridge,97
11525642,Riverview,98106,House,Delridge,95
11531021,Riverview,98106,House,Delridge,95
11533621,Roosevelt,98115,Guest suite,Other neighborhoods,99
11535056,Queen Anne,98109,House,Queen Anne,98
11547278,Capitol Hill,98102,Aparthotel,Capitol Hill,100
11549328,Ballard,98107,Apartment,Ballard,96
11552074,Genesee,98116,Cabin,West Seattle,99
11552569,First Hill,98101,Apartment,Downtown,93
11555633,Ravenna,98115,Guest suite,Other neighborhoods,91
11573287,Mount Baker,98118,Apartment,Seward Park,100
11583227,North Beacon Hill,98144,Guest suite,Beacon Hill,92
11588490,Roosevelt,98115,House,Other neighborhoods,100
11590752,Eastlake,98102,Boat,Cascade,89
11599758,Capitol Hill,,Townhouse,Capitol Hill,97
11601374,Queen Anne,98119,Apartment,Queen Anne,
11603110,First Hill,98101,Apartment,Downtown,95
11605215,Queen Anne,98119,House,Queen Anne,93
11610147,North Beacon Hill,98108,Apartment,Beacon Hill,95
11619498,Capitol Hill,98102,Apartment,Capitol Hill,100
11621166,Stevens,98122,Bed and breakfast,Capitol Hill,84
11637080,North Delridge,98106,House,Delridge,97
11638111,Mount Baker,98118,Loft,Rainier Valley,93
11638677,Wallingford,98103,House,Other neighborhoods,84
11638678,Atlantic,98144,House,Central Area,95
11640043,Magnolia,98199,House,Magnolia,95
11640921,North Delridge,98106,Townhouse,Delridge,92
11655095,Georgetown,98108,House,Other neighborhoods,90
11658142,Central Business District,98104,Apartment,Downtown,98
11658909,Capitol Hill,98102,Apartment,Capitol Hill,100
11672368,Wedgewood,98115,Guesthouse,Other neighborhoods,94
11674535,Wallingford,98103,Apartment,Other neighborhoods,100
11678366,Wallingford,98105,House,Other neighborhoods,96
11679052,Columbia City,98118,Guest suite,Rainier Valley,98
11679184,Wallingford,98105,House,Other neighborhoods,90
11687866,Queen Anne,98119,Apartment,Queen Anne,95
11697817,Genesee,98116,Townhouse,West Seattle,93
11712120,Licton Springs,98133,House,Northgate,91
11724336,,98199,House,Magnolia,100
11743748,Queen Anne,98119,Guesthouse,Queen Anne,98
11769898,Stevens,98122,Apartment,Capitol Hill,99
11775115,Capitol Hill,98102,House,Capitol Hill,70
11778122,University District,98105,Apartment,University District,92
11785399,Minor,98122,House,Central Area,
11802330,Green Lake,98115,House,Other neighborhoods,97
11810269,Leschi,98144,Guest suite,Central Area,94
11816168,Harrison/Denny-Blaine,98112,House,Central Area,96
11819518,North Admiral,98116,House,West Seattle,100
11820958,Belltown,98121,Condominium,Downtown,95
11821901,Belltown,98121,Condominium,Downtown,96
11825856,Alki,98116,Cottage,West Seattle,93
